Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Desc_superficie,Superficie_m2
2017,8,Nou Barris,55,Ciutat Meridiana,Fins a  30 m²,1
2017,8,Nou Barris,56,Vallbona,Fins a  30 m²,157
2017,9,Sant Andreu,57,la Trinitat Vella,Fins a  30 m²,344
2017,9,Sant Andreu,58,Baró de Viver,Fins a  30 m²,45
2017,9,Sant Andreu,59,el Bon Pastor,Fins a  30 m²,209
2017,9,Sant Andreu,60,Sant Andreu,Fins a  30 m²,1638
2017,9,Sant Andreu,61,la Sagrera,Fins a  30 m²,130
2017,9,Sant Andreu,62,el Congrés i els Indians,Fins a  30 m²,161
2017,9,Sant Andreu,63,Navas,Fins a  30 m²,99
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Fins a  30 m²,523
2017,10,Sant Martí,65,el Clot,Fins a  30 m²,382
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Fins a  30 m²,278
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Fins a  30 m²,110
2017,10,Sant Martí,68,el Poblenou,Fins a  30 m²,584
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Fins a  30 m²,98
2017,10,Sant Martí,70,el Besòs i el Maresme,Fins a  30 m²,309
2017,10,Sant Martí,71,Provençals del Poblenou,Fins a  30 m²,118
2017,10,Sant Martí,72,Sant Martí de Provençals,Fins a  30 m²,72
2017,10,Sant Martí,73,la Verneda i la Pau,Fins a  30 m²,54
2017,1,Ciutat Vella,1,el Raval,31-60 m²,11480
2017,1,Ciutat Vella,2,el Barri Gòtic,31-60 m²,2785
2017,1,Ciutat Vella,3,la Barceloneta,31-60 m²,6022
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",31-60 m²,5724
2017,2,Eixample,5,el Fort Pienc,31-60 m²,2669
2017,2,Eixample,6,la Sagrada Família,31-60 m²,6758
2017,2,Eixample,7,la Dreta de l'Eixample,31-60 m²,3317
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,31-60 m²,3343
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,31-60 m²,5143
2017,2,Eixample,10,Sant Antoni,31-60 m²,3974
2017,3,Sants-Montjuïc,11,el Poble Sec,31-60 m²,8441
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,31-60 m²,169
2017,3,Sants-Montjuïc,13,la Marina de Port,31-60 m²,2508
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,31-60 m²,1168
2017,3,Sants-Montjuïc,15,Hostafrancs,31-60 m²,2727
2017,3,Sants-Montjuïc,16,la Bordeta,31-60 m²,1800
2017,3,Sants-Montjuïc,17,Sants - Badal,31-60 m²,3794
2017,3,Sants-Montjuïc,18,Sants,31-60 m²,6544
2017,4,Les Corts,19,les Corts,31-60 m²,4111
2017,4,Les Corts,20,la Maternitat i Sant Ramon,31-60 m²,1690
2017,4,Les Corts,21,Pedralbes,31-60 m²,597
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",31-60 m²,933
2017,5,Sarrià-Sant Gervasi,23,Sarrià,31-60 m²,2347
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,31-60 m²,696
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,31-60 m²,1806
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,31-60 m²,3019
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,31-60 m²,3628
2017,6,Gràcia,28,Vallcarca i els Penitents,31-60 m²,2261
2017,6,Gràcia,29,el Coll,31-60 m²,1351
2017,6,Gràcia,30,la Salut,31-60 m²,1565
2017,6,Gràcia,31,la Vila de Gràcia,31-60 m²,10570
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,31-60 m²,4446
2017,7,Horta-Guinardó,33,el Baix Guinardó,31-60 m²,3387
2017,7,Horta-Guinardó,34,Can Baró,31-60 m²,1669
2017,7,Horta-Guinardó,35,el Guinardó,31-60 m²,5834
2017,7,Horta-Guinardó,36,la Font d'en Fargues,31-60 m²,1624
2017,7,Horta-Guinardó,37,el Carmel,31-60 m²,7340
2017,7,Horta-Guinardó,38,la Teixonera,31-60 m²,2618
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,31-60 m²,594
2017,7,Horta-Guinardó,40,Montbau,31-60 m²,947
2017,7,Horta-Guinardó,41,la Vall d'Hebron,31-60 m²,849
2017,7,Horta-Guinardó,42,la Clota,31-60 m²,148
2017,7,Horta-Guinardó,43,Horta,31-60 m²,4475
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,31-60 m²,3323
2017,8,Nou Barris,45,Porta,31-60 m²,4403
2017,8,Nou Barris,46,el Turó de la Peira,31-60 m²,2953
2017,8,Nou Barris,47,Can Peguera,31-60 m²,776
2017,8,Nou Barris,48,la Guineueta,31-60 m²,1246
2017,8,Nou Barris,49,Canyelles,31-60 m²,38
2017,8,Nou Barris,50,les Roquetes,31-60 m²,3740
2017,8,Nou Barris,51,Verdun,31-60 m²,3378
2017,8,Nou Barris,52,la Prosperitat,31-60 m²,6285
2017,8,Nou Barris,53,la Trinitat Nova,31-60 m²,1781
2017,8,Nou Barris,54,Torre Baró,31-60 m²,629
2017,8,Nou Barris,55,Ciutat Meridiana,31-60 m²,2785
2017,8,Nou Barris,56,Vallbona,31-60 m²,212
2017,9,Sant Andreu,57,la Trinitat Vella,31-60 m²,2086
2017,9,Sant Andreu,58,Baró de Viver,31-60 m²,170
2017,9,Sant Andreu,59,el Bon Pastor,31-60 m²,1882
2017,9,Sant Andreu,60,Sant Andreu,31-60 m²,8224
2017,9,Sant Andreu,61,la Sagrera,31-60 m²,3439
