Year,Code_District,Name_Dist,Code_NBHD,Name_NBHD,Nationality,Amount,Average_Age
2019,8,Nou Barris,49,Canyelles,Foreigners,52,32.0225988700565
2019,8,Nou Barris,50,les Roquetes,Foreigners,621,30.663461538461497
2019,8,Nou Barris,51,Verdun,Foreigners,448,30.005960264900697
2019,8,Nou Barris,52,la Prosperitat,Foreigners,676,31.2297181895816
2019,8,Nou Barris,53,la Trinitat Nova,Foreigners,261,30.571875
2019,8,Nou Barris,54,Torre Baró,Foreigners,84,31.4903474903475
2019,8,Nou Barris,55,Ciutat Meridiana,Foreigners,520,29.6164669098489
2019,8,Nou Barris,56,Vallbona,Foreigners,42,33.3333333333333
2019,9,Sant Andreu,57,la Trinitat Vella,Foreigners,518,30.5767543859649
2019,9,Sant Andreu,58,Baró de Viver,Foreigners,51,29.58125
2019,9,Sant Andreu,59,el Bon Pastor,Foreigners,253,30.917537746806
2019,9,Sant Andreu,60,Sant Andreu,Foreigners,843,32.8197351559163
2019,9,Sant Andreu,61,la Sagrera,Foreigners,665,32.3176645225136
2019,9,Sant Andreu,62,el Congrés i els Indians,Foreigners,372,32.0
2019,9,Sant Andreu,63,Navas,Foreigners,624,32.2272974442632
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Foreigners,1592,32.4089237558225
2019,10,Sant Martí,65,el Clot,Foreigners,898,33.0991027732463
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Foreigners,795,32.368609406953
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Foreigners,455,33.5402405180388
2019,10,Sant Martí,68,el Poblenou,Foreigners,1751,32.672517432075
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Foreigners,764,33.2475143903715
2019,10,Sant Martí,70,el Besòs i el Maresme,Foreigners,1141,31.2140491958373
2019,10,Sant Martí,71,Provençals del Poblenou,Foreigners,712,31.8388408744281
2019,10,Sant Martí,72,Sant Martí de Provençals,Foreigners,636,32.2712121212121
2019,10,Sant Martí,73,la Verneda i la Pau,Foreigners,643,32.170902716915
2019,1,Ciutat Vella,1,el Raval,Mixed,3658,34.0760857304005
2019,1,Ciutat Vella,2,el Barri Gòtic,Mixed,1175,35.5632475534614
2019,1,Ciutat Vella,3,la Barceloneta,Mixed,936,36.850396010560296
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Mixed,1673,33.59163647343
2019,2,Eixample,5,el Fort Pienc,Mixed,1596,37.062707641196
2019,2,Eixample,6,la Sagrada Família,Mixed,2704,36.3845542192625
2019,2,Eixample,7,la Dreta de l'Eixample,Mixed,2337,38.4163830536322
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Mixed,2373,36.664438356164396
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Mixed,2906,36.5697137580794
2019,2,Eixample,10,Sant Antoni,Mixed,2194,36.2544028950543
2019,3,Sants-Montjuïc,11,el Poble Sec,Mixed,2750,34.586945606694606
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Mixed,33,36.27461139896371
2019,3,Sants-Montjuïc,13,la Marina de Port,Mixed,1223,34.4561973986228
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Mixed,516,37.4277833500501
2019,3,Sants-Montjuïc,15,Hostafrancs,Mixed,886,34.8726580796253
2019,3,Sants-Montjuïc,16,la Bordeta,Mixed,789,34.977091950365896
2019,3,Sants-Montjuïc,17,Sants - Badal,Mixed,1157,35.2347068819031
2019,3,Sants-Montjuïc,18,Sants,Mixed,1948,35.3252219664584
2019,4,Les Corts,19,les Corts,Mixed,1604,37.73796033994329
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Mixed,858,35.9953717988275
2019,4,Les Corts,21,Pedralbes,Mixed,442,38.8293246993525
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Mixed,226,38.5555555555556
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Mixed,871,37.893778093210294
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Mixed,514,37.7478545157336
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Mixed,886,37.9214268498433
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Mixed,1923,37.652899343544895
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Mixed,1252,35.8391402714932
2019,6,Gràcia,28,Vallcarca i els Penitents,Mixed,667,35.971912432879
2019,6,Gràcia,29,el Coll,Mixed,361,35.042296072507604
2019,6,Gràcia,30,la Salut,Mixed,545,35.9501491265445
2019,6,Gràcia,31,la Vila de Gràcia,Mixed,2706,35.7083069787055
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Mixed,1481,35.8912250217202
2019,7,Horta-Guinardó,33,el Baix Guinardó,Mixed,1112,35.9380053908356
2019,7,Horta-Guinardó,34,Can Baró,Mixed,429,34.5088177661659
2019,7,Horta-Guinardó,35,el Guinardó,Mixed,1730,35.3558309690906
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Mixed,244,35.5217391304348
2019,7,Horta-Guinardó,37,el Carmel,Mixed,1336,33.1107162895081
2019,7,Horta-Guinardó,38,la Teixonera,Mixed,496,34.1024960169942
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Mixed,317,34.8605935127674
2019,7,Horta-Guinardó,40,Montbau,Mixed,188,45.2315325248071
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Mixed,155,43.8196022727273
2019,7,Horta-Guinardó,42,la Clota,Mixed,23,33.6842105263158
2019,7,Horta-Guinardó,43,Horta,Mixed,800,35.4318181818182
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Mixed,992,35.0892682926829
2019,8,Nou Barris,45,Porta,Mixed,1044,34.4486833220797
2019,8,Nou Barris,46,el Turó de la Peira,Mixed,897,33.1127665039815
2019,8,Nou Barris,47,Can Peguera,Mixed,78,31.05625
2019,8,Nou Barris,48,la Guineueta,Mixed,416,35.682702702702706
2019,8,Nou Barris,49,Canyelles,Mixed,124,35.23166023166021
2019,8,Nou Barris,50,les Roquetes,Mixed,774,32.2172094412907
2019,8,Nou Barris,51,Verdun,Mixed,590,33.5635491606715
2019,8,Nou Barris,52,la Prosperitat,Mixed,1034,33.0997742663657
2019,8,Nou Barris,53,la Trinitat Nova,Mixed,364,32.4110769230769
2019,8,Nou Barris,54,Torre Baró,Mixed,144,31.6454948301329
2019,8,Nou Barris,55,Ciutat Meridiana,Mixed,650,30.913513513513497
2019,8,Nou Barris,56,Vallbona,Mixed,59,31.709219858156
2019,9,Sant Andreu,57,la Trinitat Vella,Mixed,613,32.3844552394171
2019,9,Sant Andreu,58,Baró de Viver,Mixed,123,32.31
2019,9,Sant Andreu,59,el Bon Pastor,Mixed,444,34.6283592644979
2019,9,Sant Andreu,60,Sant Andreu,Mixed,1623,35.7692433404151
2019,9,Sant Andreu,61,la Sagrera,Mixed,1214,35.1773669240146
2019,9,Sant Andreu,62,el Congrés i els Indians,Mixed,621,35.683320220299
2019,9,Sant Andreu,63,Navas,Mixed,932,35.982763192787104
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Mixed,1908,36.2257264839554
2019,10,Sant Martí,65,el Clot,Mixed,1117,35.3902553291169
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Mixed,797,33.4819241111443
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Mixed,430,34.6632911392405
2019,10,Sant Martí,68,el Poblenou,Mixed,1605,35.009015138628996
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Mixed,520,34.0245174752217
2019,10,Sant Martí,70,el Besòs i el Maresme,Mixed,1025,32.7446875
2019,10,Sant Martí,71,Provençals del Poblenou,Mixed,831,34.8951612903226
2019,10,Sant Martí,72,Sant Martí de Provençals,Mixed,890,36.7570247933884
2019,10,Sant Martí,73,la Verneda i la Pau,Mixed,914,35.216807165437295
2018,1,Ciutat Vella,1,el Raval,Spaniards,8391,49.9
2018,1,Ciutat Vella,2,el Barri Gòtic,Spaniards,3268,50.8
2018,1,Ciutat Vella,3,la Barceloneta,Spaniards,4058,50.1
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Spaniards,5526,49.4
2018,2,Eixample,5,el Fort Pienc,Spaniards,9738,49.0
2018,2,Eixample,6,la Sagrada Família,Spaniards,16973,49.7
2018,2,Eixample,7,la Dreta de l'Eixample,Spaniards,13379,48.1
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Spaniards,13572,48.4
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,Spaniards,19425,49.0
2018,2,Eixample,10,Sant Antoni,Spaniards,12387,50.2
2018,3,Sants-Montjuïc,11,el Poble Sec,Spaniards,10637,49.4
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Spaniards,413,44.9
2018,3,Sants-Montjuïc,13,la Marina de Port,Spaniards,9963,46.6
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,Spaniards,3361,49.5
2018,3,Sants-Montjuïc,15,Hostafrancs,Spaniards,4981,48.1
2018,3,Sants-Montjuïc,16,la Bordeta,Spaniards,6515,48.3
