Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Us_del_local,Nombre
2017,7,Horta-Guinardó,40,Montbau,Aparcaments,152
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Aparcaments,367
2017,7,Horta-Guinardó,42,la Clota,Aparcaments,165
2017,7,Horta-Guinardó,43,Horta,Aparcaments,5726
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Aparcaments,5423
2017,8,Nou Barris,45,Porta,Aparcaments,5335
2017,8,Nou Barris,46,el Turó de la Peira,Aparcaments,1203
2017,8,Nou Barris,47,Can Peguera,Aparcaments,314
2017,8,Nou Barris,48,la Guineueta,Aparcaments,3160
2017,8,Nou Barris,49,Canyelles,Aparcaments,327
2017,8,Nou Barris,50,les Roquetes,Aparcaments,1541
2017,8,Nou Barris,51,Verdun,Aparcaments,1606
2017,8,Nou Barris,52,la Prosperitat,Aparcaments,4384
2017,8,Nou Barris,53,la Trinitat Nova,Aparcaments,585
2017,8,Nou Barris,54,Torre Baró,Aparcaments,658
2017,8,Nou Barris,55,Ciutat Meridiana,Aparcaments,126
2017,8,Nou Barris,56,Vallbona,Aparcaments,405
2017,9,Sant Andreu,57,la Trinitat Vella,Aparcaments,1378
2017,9,Sant Andreu,58,Baró de Viver,Aparcaments,459
2017,9,Sant Andreu,59,el Bon Pastor,Aparcaments,2386
2017,9,Sant Andreu,60,Sant Andreu,Aparcaments,14180
2017,9,Sant Andreu,61,la Sagrera,Aparcaments,7307
2017,9,Sant Andreu,62,el Congrés i els Indians,Aparcaments,2024
2017,9,Sant Andreu,63,Navas,Aparcaments,4709
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Aparcaments,7357
2017,10,Sant Martí,65,el Clot,Aparcaments,6158
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Aparcaments,5807
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Aparcaments,6423
2017,10,Sant Martí,68,el Poblenou,Aparcaments,10176
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Aparcaments,8442
2017,10,Sant Martí,70,el Besòs i el Maresme,Aparcaments,1190
2017,10,Sant Martí,71,Provençals del Poblenou,Aparcaments,5498
2017,10,Sant Martí,72,Sant Martí de Provençals,Aparcaments,3409
2017,10,Sant Martí,73,la Verneda i la Pau,Aparcaments,2860
2017,99,No consta,99,No consta,Aparcaments,0
2017,1,Ciutat Vella,1,el Raval,Comerç,2732
2017,1,Ciutat Vella,2,el Barri Gòtic,Comerç,1820
2017,1,Ciutat Vella,3,la Barceloneta,Comerç,455
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Comerç,1350
2017,2,Eixample,5,el Fort Pienc,Comerç,1003
2017,2,Eixample,6,la Sagrada Família,Comerç,2798
2017,2,Eixample,7,la Dreta de l'Eixample,Comerç,4907
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Comerç,3283
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Comerç,2623
2017,2,Eixample,10,Sant Antoni,Comerç,3068
2017,3,Sants-Montjuïc,11,el Poble Sec,Comerç,1913
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Comerç,1013
2017,3,Sants-Montjuïc,13,la Marina de Port,Comerç,807
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Comerç,318
2017,3,Sants-Montjuïc,15,Hostafrancs,Comerç,1469
2017,3,Sants-Montjuïc,16,la Bordeta,Comerç,705
2017,3,Sants-Montjuïc,17,Sants - Badal,Comerç,1070
2017,3,Sants-Montjuïc,18,Sants,Comerç,3010
2017,4,Les Corts,19,les Corts,Comerç,3002
