"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitat","Nombre"
2019,7,"Horta-Guinardó",42,"la Clota","Tots espanyols",240
2019,7,"Horta-Guinardó",43,"Horta","Tots espanyols",9364
2019,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots espanyols",8917
2019,8,"Nou Barris",45,"Porta","Tots espanyols",8564
2019,8,"Nou Barris",46,"el Turó de la Peira","Tots espanyols",4797
2019,8,"Nou Barris",47,"Can Peguera","Tots espanyols",822
2019,8,"Nou Barris",48,"la Guineueta","Tots espanyols",5606
2019,8,"Nou Barris",49,"Canyelles","Tots espanyols",2634
2019,8,"Nou Barris",50,"les Roquetes","Tots espanyols",4596
2019,8,"Nou Barris",51,"Verdun","Tots espanyols",4056
2019,8,"Nou Barris",52,"la Prosperitat","Tots espanyols",9060
2019,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols",2299
2019,8,"Nou Barris",54,"Torre Baró","Tots espanyols",748
2019,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols",2542
2019,8,"Nou Barris",56,"Vallbona","Tots espanyols",385
2019,9,"Sant Andreu",57,"la Trinitat Vella","Tots espanyols",2413
2019,9,"Sant Andreu",58,"Baró de Viver","Tots espanyols",818
2019,9,"Sant Andreu",59,"el Bon Pastor","Tots espanyols",3793
2019,9,"Sant Andreu",60,"Sant Andreu","Tots espanyols",21361
2019,9,"Sant Andreu",61,"la Sagrera","Tots espanyols",10013
2019,9,"Sant Andreu",62,"el Congrés i els Indians","Tots espanyols",4954
2019,9,"Sant Andreu",63,"Navas","Tots espanyols",7507
2019,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots espanyols",12919
2019,10,"Sant Martí",65,"el Clot","Tots espanyols",8792
2019,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots espanyols",4791
2019,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots espanyols",2640
2019,10,"Sant Martí",68,"el Poblenou","Tots espanyols",10344
2019,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots espanyols",4136
2019,10,"Sant Martí",70,"el Besòs i el Maresme","Tots espanyols",6181
2019,10,"Sant Martí",71,"Provençals del Poblenou","Tots espanyols",6769
