Year,Trimester,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Thousands_Euros,Euros_M2,Type_y
2019,1,7,Horta-Guinardó,43,Horta,261.0,3752.7,New
2019,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,,,New
2019,1,8,Nou Barris,45,Porta,,,New
2019,1,8,Nou Barris,46,el Turó de la Peira,,,New
2019,1,8,Nou Barris,47,Can Peguera,,,New
2019,1,8,Nou Barris,48,la Guineueta,,,New
2019,1,8,Nou Barris,49,Canyelles,,,New
2019,1,8,Nou Barris,50,les Roquetes,,,New
2019,1,8,Nou Barris,51,Verdun,,,New
2019,1,8,Nou Barris,52,la Prosperitat,,,New
2019,1,8,Nou Barris,53,la Trinitat Nova,,,New
2019,1,8,Nou Barris,54,Torre Baró,,,New
2019,1,8,Nou Barris,55,Ciutat Meridiana,,,New
2019,1,8,Nou Barris,56,Vallbona,,,New
2019,1,9,Sant Andreu,57,la Trinitat Vella,,,New
2019,1,9,Sant Andreu,58,Baró de Viver,,,New
2019,1,9,Sant Andreu,59,el Bon Pastor,,,New
2019,1,9,Sant Andreu,60,Sant Andreu,325.1,3897.0,New
2019,1,9,Sant Andreu,61,la Sagrera,,,New
2019,1,9,Sant Andreu,62,el Congrés i els Indians,,,New
2019,1,9,Sant Andreu,63,Navas,,,New
2019,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,446.5,4534.6,New
2019,1,10,Sant Martí,65,el Clot,278.3,4866.1,New
2019,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,,,New
2019,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,,,New
2019,1,10,Sant Martí,68,el Poblenou,504.5,4413.2,New
2019,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,,,New
2019,1,10,Sant Martí,70,el Besòs i el Maresme,438.7,4260.3,New
2019,1,10,Sant Martí,71,Provençals del Poblenou,,,New
2019,1,10,Sant Martí,72,Sant Martí de Provençals,296.1,4833.3,New
2019,1,10,Sant Martí,73,la Verneda i la Pau,162.2,2683.3,New
2019,1,1,Ciutat Vella,1,el Raval,228.9,3625.8,Used
2019,1,1,Ciutat Vella,2,el Barri Gòtic,341.4,4457.5,Used
2019,1,1,Ciutat Vella,3,la Barceloneta,222.0,5154.2,Used
2019,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",293.6,4653.2,Used
2019,1,2,Eixample,5,el Fort Pienc,391.3,4437.6,Used
2019,1,2,Eixample,6,la Sagrada Família,297.2,4379.3,Used
2019,1,2,Eixample,7,la Dreta de l'Eixample,492.3,4730.1,Used
2019,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,407.0,4293.6,Used
2019,1,2,Eixample,9,la Nova Esquerra de l'Eixample,349.6,4694.0,Used
2019,1,2,Eixample,10,Sant Antoni,356.7,4459.3,Used
2019,1,3,Sants-Montjuïc,11,el Poble Sec,324.7,4563.2,Used
2019,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,,Used
2019,1,3,Sants-Montjuïc,13,la Marina de Port,197.2,2894.3,Used
2019,1,3,Sants-Montjuïc,14,la Font de la Guatlla,247.7,3906.2,Used
2019,1,3,Sants-Montjuïc,15,Hostafrancs,214.5,3209.6,Used
2019,1,3,Sants-Montjuïc,16,la Bordeta,188.6,2898.4,Used
2019,1,3,Sants-Montjuïc,17,Sants - Badal,239.6,3077.4,Used
2019,1,3,Sants-Montjuïc,18,Sants,290.6,3681.2,Used
2019,1,4,Les Corts,19,les Corts,397.0,4752.3,Used
