Year,Code_Dist,Name_Dist,Code_NBHD,Name_NBHD,Gender,Nationality,Age,Amount
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Spaniards,20-24 anys,257
2017,10,Sant Martí,68,el Poblenou,Dona,Spaniards,20-24 anys,453
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Spaniards,20-24 anys,141
2017,10,Sant Martí,70,el Besòs i el Maresme,Dona,Spaniards,20-24 anys,381
2017,10,Sant Martí,71,Provençals del Poblenou,Dona,Spaniards,20-24 anys,404
2017,10,Sant Martí,72,Sant Martí de Provençals,Dona,Spaniards,20-24 anys,424
2017,10,Sant Martí,73,la Verneda i la Pau,Dona,Spaniards,20-24 anys,514
2017,1,Ciutat Vella,1,el Raval,Dona,Spaniards,25-29 anys,675
2017,1,Ciutat Vella,2,el Barri Gòtic,Dona,Spaniards,25-29 anys,264
2017,1,Ciutat Vella,3,la Barceloneta,Dona,Spaniards,25-29 anys,227
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Spaniards,25-29 anys,412
2017,2,Eixample,5,el Fort Pienc,Dona,Spaniards,25-29 anys,620
2017,2,Eixample,6,la Sagrada Família,Dona,Spaniards,25-29 anys,1010
2017,2,Eixample,7,la Dreta de l'Eixample,Dona,Spaniards,25-29 anys,828
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Spaniards,25-29 anys,929
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Spaniards,25-29 anys,1324
2017,2,Eixample,10,Sant Antoni,Dona,Spaniards,25-29 anys,663
2017,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Dona,Spaniards,25-29 anys,662
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Dona,Spaniards,25-29 anys,25
2017,3,Sants-Montjuïc,13,la Marina de Port,Dona,Spaniards,25-29 anys,610
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Spaniards,25-29 anys,205
2017,3,Sants-Montjuïc,15,Hostafrancs,Dona,Spaniards,25-29 anys,374
2017,3,Sants-Montjuïc,16,la Bordeta,Dona,Spaniards,25-29 anys,404
2017,3,Sants-Montjuïc,17,Sants - Badal,Dona,Spaniards,25-29 anys,556
2017,3,Sants-Montjuïc,18,Sants,Dona,Spaniards,25-29 anys,931
2017,4,Les Corts,19,les Corts,Dona,Spaniards,25-29 anys,1025
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Spaniards,25-29 anys,520
2017,4,Les Corts,21,Pedralbes,Dona,Spaniards,25-29 anys,220
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Spaniards,25-29 anys,85
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Spaniards,25-29 anys,535
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Spaniards,25-29 anys,389
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Spaniards,25-29 anys,560
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Spaniards,25-29 anys,1055
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Spaniards,25-29 anys,630
2017,6,Gràcia,28,Vallcarca i els Penitents,Dona,Spaniards,25-29 anys,283
2017,6,Gràcia,29,el Coll,Dona,Spaniards,25-29 anys,149
2017,6,Gràcia,30,la Salut,Dona,Spaniards,25-29 anys,294
2017,6,Gràcia,31,la Vila de Gràcia,Dona,Spaniards,25-29 anys,1129
2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Spaniards,25-29 anys,775
2017,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Spaniards,25-29 anys,549
2017,7,Horta-Guinardó,34,Can Baró,Dona,Spaniards,25-29 anys,176
2017,7,Horta-Guinardó,35,el Guinardó,Dona,Spaniards,25-29 anys,712
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Spaniards,25-29 anys,179
2017,7,Horta-Guinardó,37,el Carmel,Dona,Spaniards,25-29 anys,603
2017,7,Horta-Guinardó,38,la Teixonera,Dona,Spaniards,25-29 anys,196
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Spaniards,25-29 anys,125
2017,7,Horta-Guinardó,40,Montbau,Dona,Spaniards,25-29 anys,95
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Spaniards,25-29 anys,104
2017,7,Horta-Guinardó,42,la Clota,Dona,Spaniards,25-29 anys,13
2017,7,Horta-Guinardó,43,Horta,Dona,Spaniards,25-29 anys,494
2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Spaniards,25-29 anys,501
2017,8,Nou Barris,45,Porta,Dona,Spaniards,25-29 anys,454
2017,8,Nou Barris,46,el Turó de la Peira,Dona,Spaniards,25-29 anys,285
2017,8,Nou Barris,47,Can Peguera,Dona,Spaniards,25-29 anys,57
2017,8,Nou Barris,48,la Guineueta,Dona,Spaniards,25-29 anys,263
2017,8,Nou Barris,49,Canyelles,Dona,Spaniards,25-29 anys,146
2017,8,Nou Barris,50,les Roquetes,Dona,Spaniards,25-29 anys,296
2017,8,Nou Barris,51,Verdun,Dona,Spaniards,25-29 anys,210
2017,8,Nou Barris,52,la Prosperitat,Dona,Spaniards,25-29 anys,490
2017,8,Nou Barris,53,la Trinitat Nova,Dona,Spaniards,25-29 anys,150
2017,8,Nou Barris,54,Torre Baró,Dona,Spaniards,25-29 anys,67
2017,8,Nou Barris,55,Ciutat Meridiana,Dona,Spaniards,25-29 anys,157
2017,8,Nou Barris,56,Vallbona,Dona,Spaniards,25-29 anys,25
2017,9,Sant Andreu,57,la Trinitat Vella,Dona,Spaniards,25-29 anys,173
2017,9,Sant Andreu,58,Baró de Viver,Dona,Spaniards,25-29 anys,51
2017,9,Sant Andreu,59,el Bon Pastor,Dona,Spaniards,25-29 anys,212
2017,9,Sant Andreu,60,Sant Andreu,Dona,Spaniards,25-29 anys,1213
2017,9,Sant Andreu,61,la Sagrera,Dona,Spaniards,25-29 anys,620
2017,9,Sant Andreu,62,el Congrés i els Indians,Dona,Spaniards,25-29 anys,255
2017,9,Sant Andreu,63,Navas,Dona,Spaniards,25-29 anys,458
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Spaniards,25-29 anys,783
2017,10,Sant Martí,65,el Clot,Dona,Spaniards,25-29 anys,559
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Spaniards,25-29 anys,286
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Spaniards,25-29 anys,145
2017,10,Sant Martí,68,el Poblenou,Dona,Spaniards,25-29 anys,514
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Spaniards,25-29 anys,178
2017,10,Sant Martí,70,el Besòs i el Maresme,Dona,Spaniards,25-29 anys,407
2017,10,Sant Martí,71,Provençals del Poblenou,Dona,Spaniards,25-29 anys,443
2017,10,Sant Martí,72,Sant Martí de Provençals,Dona,Spaniards,25-29 anys,437
2017,10,Sant Martí,73,la Verneda i la Pau,Dona,Spaniards,25-29 anys,564
2017,1,Ciutat Vella,1,el Raval,Dona,Spaniards,30-34 anys,693
2017,1,Ciutat Vella,2,el Barri Gòtic,Dona,Spaniards,30-34 anys,321
2017,1,Ciutat Vella,3,la Barceloneta,Dona,Spaniards,30-34 anys,306
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Spaniards,30-34 anys,519
2017,2,Eixample,5,el Fort Pienc,Dona,Spaniards,30-34 anys,744
2017,2,Eixample,6,la Sagrada Família,Dona,Spaniards,30-34 anys,1251
2017,2,Eixample,7,la Dreta de l'Eixample,Dona,Spaniards,30-34 anys,967
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Spaniards,30-34 anys,1046
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Spaniards,30-34 anys,1448
2017,2,Eixample,10,Sant Antoni,Dona,Spaniards,30-34 anys,898
2017,3,Sants-Montjuïc,11,el Poble Sec - AEI Parc Montjuïc,Dona,Spaniards,30-34 anys,950
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell - AEI Zona Franca,Dona,Spaniards,30-34 anys,34
2017,3,Sants-Montjuïc,13,la Marina de Port,Dona,Spaniards,30-34 anys,648
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Spaniards,30-34 anys,259
2017,3,Sants-Montjuïc,15,Hostafrancs,Dona,Spaniards,30-34 anys,449
2017,3,Sants-Montjuïc,16,la Bordeta,Dona,Spaniards,30-34 anys,486
2017,3,Sants-Montjuïc,17,Sants - Badal,Dona,Spaniards,30-34 anys,583
2017,3,Sants-Montjuïc,18,Sants,Dona,Spaniards,30-34 anys,1221
2017,4,Les Corts,19,les Corts,Dona,Spaniards,30-34 anys,1128
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Spaniards,30-34 anys,558
2017,4,Les Corts,21,Pedralbes,Dona,Spaniards,30-34 anys,191
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Spaniards,30-34 anys,92
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Spaniards,30-34 anys,480
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Spaniards,30-34 anys,309
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Spaniards,30-34 anys,526
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Spaniards,30-34 anys,983
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Spaniards,30-34 anys,799
2017,6,Gràcia,28,Vallcarca i els Penitents,Dona,Spaniards,30-34 anys,371
2017,6,Gràcia,29,el Coll,Dona,Spaniards,30-34 anys,157
2017,6,Gràcia,30,la Salut,Dona,Spaniards,30-34 anys,365
2017,6,Gràcia,31,la Vila de Gràcia,Dona,Spaniards,30-34 anys,1667
