"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Edat_mitjana"
2014,8,"Nou Barris",49,"Canyelles","Tots espanyols","48.8"
2014,8,"Nou Barris",50,"les Roquetes","Tots espanyols","47.3"
2014,8,"Nou Barris",51,"Verdun","Tots espanyols","44.9"
2014,8,"Nou Barris",52,"la Prosperitat","Tots espanyols","48.4"
2014,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols","48.6"
2014,8,"Nou Barris",54,"Torre Baró","Tots espanyols","47.1"
2014,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols","41.1"
2014,8,"Nou Barris",56,"Vallbona","Tots espanyols","47.0"
2014,9,"Sant Andreu",57,"la Trinitat Vella","Tots espanyols","42.9"
2014,9,"Sant Andreu",58,"Baró de Viver","Tots espanyols","44.7"
2014,9,"Sant Andreu",59,"el Bon Pastor","Tots espanyols","42.6"
2014,9,"Sant Andreu",60,"Sant Andreu","Tots espanyols","42.5"
2014,9,"Sant Andreu",61,"la Sagrera","Tots espanyols","45.3"
2014,9,"Sant Andreu",62,"el Congrés i els Indians","Tots espanyols","47.8"
2014,9,"Sant Andreu",63,"Navas","Tots espanyols","48.6"
2014,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots espanyols","48.5"
2014,10,"Sant Martí",65,"el Clot","Tots espanyols","48.4"
2014,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots espanyols","45.6"
2014,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots espanyols","46.8"
2014,10,"Sant Martí",68,"el Poblenou","Tots espanyols","41.0"
2014,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots espanyols","44.0"
2014,10,"Sant Martí",70,"el Besòs i el Maresme","Tots espanyols","40.9"
2014,10,"Sant Martí",71,"Provençals del Poblenou","Tots espanyols","47.3"
2014,10,"Sant Martí",72,"Sant Martí de Provençals","Tots espanyols","44.4"
2014,10,"Sant Martí",73,"la Verneda i la Pau","Tots espanyols","48.6"
2014,1,"Ciutat Vella",1,"el Raval","Tots estrangers","30.3"
2014,1,"Ciutat Vella",2,"el Barri Gòtic","Tots estrangers","31.7"
2014,1,"Ciutat Vella",3,"la Barceloneta","Tots estrangers","32.8"
2014,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Tots estrangers","32.9"
2014,2,"Eixample",5,"el Fort Pienc","Tots estrangers","32.5"
2014,2,"Eixample",6,"la Sagrada Família","Tots estrangers","31.6"
2014,2,"Eixample",7,"la Dreta de l'Eixample","Tots estrangers","32.3"
2014,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Tots estrangers","33.3"
2014,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Tots estrangers","33.5"
2014,2,"Eixample",10,"Sant Antoni","Tots estrangers","32.7"
2014,3,"Sants-Montjuïc",11,"el Poble Sec","Tots estrangers","32.2"
2014,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Tots estrangers","31.6"
2014,3,"Sants-Montjuïc",13,"la Marina de Port","Tots estrangers","31.4"
2014,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Tots estrangers","30.5"
2014,3,"Sants-Montjuïc",15,"Hostafrancs","Tots estrangers","31.8"
2014,3,"Sants-Montjuïc",16,"la Bordeta","Tots estrangers","31.8"
2014,3,"Sants-Montjuïc",17,"Sants - Badal","Tots estrangers","31.8"
2014,3,"Sants-Montjuïc",18,"Sants","Tots estrangers","31.2"
2014,4,"Les Corts",19,"les Corts","Tots estrangers","32.0"
2014,4,"Les Corts",20,"la Maternitat i Sant Ramon","Tots estrangers","33.0"
2014,4,"Les Corts",21,"Pedralbes","Tots estrangers","31.4"
2014,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Tots estrangers","33.4"
2014,5,"Sarrià-Sant Gervasi",23,"Sarrià","Tots estrangers","32.0"
2014,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Tots estrangers","33.2"
2014,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Tots estrangers","35.1"
2014,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Tots estrangers","34.4"
2014,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Tots estrangers","34.3"
2014,6,"Gràcia",28,"Vallcarca i els Penitents","Tots estrangers","33.7"
2014,6,"Gràcia",29,"el Coll","Tots estrangers","32.8"
2014,6,"Gràcia",30,"la Salut","Tots estrangers","32.3"
2014,6,"Gràcia",31,"la Vila de Gràcia","Tots estrangers","32.9"
2014,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Tots estrangers","32.0"
2014,7,"Horta-Guinardó",33,"el Baix Guinardó","Tots estrangers","32.6"
2014,7,"Horta-Guinardó",34,"Can Baró","Tots estrangers","32.1"
2014,7,"Horta-Guinardó",35,"el Guinardó","Tots estrangers","30.7"
2014,7,"Horta-Guinardó",36,"la Font d'en Fargues","Tots estrangers","31.8"
2014,7,"Horta-Guinardó",37,"el Carmel","Tots estrangers","30.6"
2014,7,"Horta-Guinardó",38,"la Teixonera","Tots estrangers","30.9"
2014,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Tots estrangers","31.0"
2014,7,"Horta-Guinardó",40,"Montbau","Tots estrangers","32.7"
2014,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots estrangers","30.6"
2014,7,"Horta-Guinardó",42,"la Clota","Tots estrangers","30.1"
2014,7,"Horta-Guinardó",43,"Horta","Tots estrangers","27.2"
2014,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots estrangers","31.5"
2014,8,"Nou Barris",45,"Porta","Tots estrangers","31.4"
2014,8,"Nou Barris",46,"el Turó de la Peira","Tots estrangers","31.1"
2014,8,"Nou Barris",47,"Can Peguera","Tots estrangers","31.5"
2014,8,"Nou Barris",48,"la Guineueta","Tots estrangers","32.6"
2014,8,"Nou Barris",49,"Canyelles","Tots estrangers","32.3"
2014,8,"Nou Barris",50,"les Roquetes","Tots estrangers","32.4"
2014,8,"Nou Barris",51,"Verdun","Tots estrangers","29.8"
2014,8,"Nou Barris",52,"la Prosperitat","Tots estrangers","30.2"
