"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Nombre"
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Tots espanyols",2119
2018,7,"Horta-Guinardó",42,"la Clota","Tots espanyols",235
2018,7,"Horta-Guinardó",43,"Horta","Tots espanyols",9451
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Tots espanyols",9016
2018,8,"Nou Barris",45,"Porta","Tots espanyols",8675
2018,8,"Nou Barris",46,"el Turó de la Peira","Tots espanyols",4851
2018,8,"Nou Barris",47,"Can Peguera","Tots espanyols",821
2018,8,"Nou Barris",48,"la Guineueta","Tots espanyols",5662
2018,8,"Nou Barris",49,"Canyelles","Tots espanyols",2648
2018,8,"Nou Barris",50,"les Roquetes","Tots espanyols",4644
2018,8,"Nou Barris",51,"Verdun","Tots espanyols",4139
2018,8,"Nou Barris",52,"la Prosperitat","Tots espanyols",9168
2018,8,"Nou Barris",53,"la Trinitat Nova","Tots espanyols",2327
2018,8,"Nou Barris",54,"Torre Baró","Tots espanyols",747
2018,8,"Nou Barris",55,"Ciutat Meridiana","Tots espanyols",2585
2018,8,"Nou Barris",56,"Vallbona","Tots espanyols",396
2018,9,"Sant Andreu",57,"la Trinitat Vella","Tots espanyols",2471
2018,9,"Sant Andreu",58,"Baró de Viver","Tots espanyols",824
2018,9,"Sant Andreu",59,"el Bon Pastor","Tots espanyols",3849
2018,9,"Sant Andreu",60,"Sant Andreu","Tots espanyols",21414
2018,9,"Sant Andreu",61,"la Sagrera","Tots espanyols",10117
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Tots espanyols",5033
2018,9,"Sant Andreu",63,"Navas","Tots espanyols",7583
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Tots espanyols",13154
2018,10,"Sant Martí",65,"el Clot","Tots espanyols",8904
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Tots espanyols",4798
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Tots espanyols",2682
2018,10,"Sant Martí",68,"el Poblenou","Tots espanyols",10617
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Tots espanyols",4205
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Tots espanyols",6333
2018,10,"Sant Martí",71,"Provençals del Poblenou","Tots espanyols",6819
